course_type,module,objective_code,poi_topic,question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,points,question_type,hint,explanation,bank_title,bank_description,source_url
adult_topic,GB-ADULT-EN-4.1.3,GB-AE-4.1.3-Q01,4.1.3,GB Adult 4.1.3 — Q01 — Right-of-way meaning,What does yielding the right-of-way require?,Allowing the lawful priority movement to occur safely,Insisting that another driver stop,Accelerating through every conflict,Using the horn before proceeding,A,1,single_choice,,Right-of-way rules assign priority; a driver still must avoid a collision.,Gulf Breeze Adult English — Topic 4.1.3 Participation Bank,Internal participation bank for Right-of-Way. The controlled mastery gate administers two questions after Topic 4.1.3.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.3,GB-AE-4.1.3-Q02,4.1.3,GB Adult 4.1.3 — Q02 — Uncontrolled intersection,"At an uncontrolled intersection, what should a driver do first?",Speed up to arrive first,"Search, slow, and be prepared to yield",Assume the larger road has priority,Follow the vehicle ahead without checking,B,1,single_choice,,"An uncontrolled intersection requires early observation, speed reduction, and lawful yielding.",Gulf Breeze Adult English — Topic 4.1.3 Participation Bank,Internal participation bank for Right-of-Way. The controlled mastery gate administers two questions after Topic 4.1.3.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.3,GB-AE-4.1.3-Q03,4.1.3,GB Adult 4.1.3 — Q03 — Left turn,A driver turning left across oncoming traffic must generally:,Enter first and force traffic to slow,Stop only when pedestrians are present,Yield until the turn can be completed safely,Use hazard lights instead of signaling,C,1,single_choice,,The left-turning driver must yield to conflicting traffic and pedestrians as required.,Gulf Breeze Adult English — Topic 4.1.3 Participation Bank,Internal participation bank for Right-of-Way. The controlled mastery gate administers two questions after Topic 4.1.3.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.3,GB-AE-4.1.3-Q04,4.1.3,GB Adult 4.1.3 — Q04 — T-intersection,A driver on a road that ends at a T-intersection should:,Proceed without slowing,Always turn left,Stop only at night,Yield to traffic on the through road,D,1,single_choice,,Traffic on the terminating road yields to lawful traffic on the through road.,Gulf Breeze Adult English — Topic 4.1.3 Participation Bank,Internal participation bank for Right-of-Way. The controlled mastery gate administers two questions after Topic 4.1.3.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.3,GB-AE-4.1.3-Q05,4.1.3,GB Adult 4.1.3 — Q05 — Traffic circle,"Before entering a traffic circle, a driver should:",Yield to traffic already circulating,Stop inside the circle,Change lanes without signaling,Enter beside a large truck,A,1,single_choice,,Entering traffic yields and selects a safe gap.,Gulf Breeze Adult English — Topic 4.1.3 Participation Bank,Internal participation bank for Right-of-Way. The controlled mastery gate administers two questions after Topic 4.1.3.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.3,GB-AE-4.1.3-Q06,4.1.3,GB Adult 4.1.3 — Q06 — Crosswalk,A pedestrian remains in the crosswalk when the signal changes. What should the driver do?,Proceed because the light changed,Wait until the pedestrian is safely clear,Sound the horn continuously,Pass the stopped vehicle beside the crosswalk,B,1,single_choice,,A driver must not endanger a pedestrian who is still completing the crossing.,Gulf Breeze Adult English — Topic 4.1.3 Participation Bank,Internal participation bank for Right-of-Way. The controlled mastery gate administers two questions after Topic 4.1.3.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.3,GB-AE-4.1.3-Q07,4.1.3,GB Adult 4.1.3 — Q07 — School crossing,Why should speed be reduced near a school crossing?,School buses always move faster than traffic,Crosswalk rules do not apply there,Children may be difficult to see and act unpredictably,Parking is always permitted there,C,1,single_choice,,Reduced speed creates time and space to respond to children and crossing controls.,Gulf Breeze Adult English — Topic 4.1.3 Participation Bank,Internal participation bank for Right-of-Way. The controlled mastery gate administers two questions after Topic 4.1.3.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.3,GB-AE-4.1.3-Q08,4.1.3,GB Adult 4.1.3 — Q08 — Emergency vehicle,"When an authorized emergency vehicle approaches using required signals, the driver should:",Race it to the next intersection,Stop in the middle of an intersection,Follow closely behind it,Yield as required and remain stopped until it passes,D,1,single_choice,,A predictable lawful yield creates a clear path for emergency response.,Gulf Breeze Adult English — Topic 4.1.3 Participation Bank,Internal participation bank for Right-of-Way. The controlled mastery gate administers two questions after Topic 4.1.3.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.3,GB-AE-4.1.3-Q09,4.1.3,GB Adult 4.1.3 — Q09 — Railroad crossing,A driver must never enter a railroad crossing unless:,There is enough space to clear the tracks completely,The vehicle ahead is moving,The warning lights have been active for less than a minute,Another driver waves the vehicle forward,A,1,single_choice,,Never stop on tracks; enter only when the entire crossing can be cleared.,Gulf Breeze Adult English — Topic 4.1.3 Participation Bank,Internal participation bank for Right-of-Way. The controlled mastery gate administers two questions after Topic 4.1.3.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.3,GB-AE-4.1.3-Q10,4.1.3,GB Adult 4.1.3 — Q10 — School bus signals,What should a driver do when a school bus displays required stop signals?,Pass slowly on the shoulder,Obey the applicable Texas stopping rule,Stop only if children are visible,Use the horn and continue,B,1,single_choice,,Drivers must follow the statutory school-bus stopping requirements.,Gulf Breeze Adult English — Topic 4.1.3 Participation Bank,Internal participation bank for Right-of-Way. The controlled mastery gate administers two questions after Topic 4.1.3.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
