course_type,module,objective_code,poi_topic,question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,points,question_type,hint,explanation,bank_title,bank_description,source_url
adult_topic,GB-ADULT-EN-4.1.4,GB-AE-4.1.4-Q01,4.1.4,GB Adult 4.1.4 — Q01 — Device priority,"If a police officer directs traffic differently from a signal, whom should the driver obey?",The officer,The traffic signal,The vehicle ahead,The navigation app,A,1,single_choice,,An authorized officer’s direction controls the immediate traffic movement.,Gulf Breeze Adult English — Topic 4.1.4 Participation Bank,Internal participation bank for Traffic Control Devices. The controlled mastery gate administers two questions after Topic 4.1.4.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.4,GB-AE-4.1.4-Q02,4.1.4,GB Adult 4.1.4 — Q02 — Octagon shape,Which sign shape always identifies a stop sign?,Diamond,Octagon,Pentagon,Circle,B,1,single_choice,,The octagonal shape identifies STOP even when wording is difficult to see.,Gulf Breeze Adult English — Topic 4.1.4 Participation Bank,Internal participation bank for Traffic Control Devices. The controlled mastery gate administers two questions after Topic 4.1.4.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.4,GB-AE-4.1.4-Q03,4.1.4,GB Adult 4.1.4 — Q03 — Triangle shape,What does the downward-pointing triangular sign mean?,Railroad crossing,School zone,Yield,No passing zone,C,1,single_choice,,The inverted triangle is reserved for YIELD.,Gulf Breeze Adult English — Topic 4.1.4 Participation Bank,Internal participation bank for Traffic Control Devices. The controlled mastery gate administers two questions after Topic 4.1.4.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.4,GB-AE-4.1.4-Q04,4.1.4,GB Adult 4.1.4 — Q04 — Warning color,What do most yellow diamond-shaped signs communicate?,A mandatory parking rule,A hospital location,A speed limit,A general warning or changing roadway condition,D,1,single_choice,,Yellow diamond signs warn drivers to prepare for a condition or hazard.,Gulf Breeze Adult English — Topic 4.1.4 Participation Bank,Internal participation bank for Traffic Control Devices. The controlled mastery gate administers two questions after Topic 4.1.4.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.4,GB-AE-4.1.4-Q05,4.1.4,GB Adult 4.1.4 — Q05 — Orange signs,Orange signs and devices normally identify:,Work-zone and temporary traffic controls,Recreation areas,Railroad property only,Permanent route guidance,A,1,single_choice,,"Orange is used for construction, maintenance, and temporary traffic control.",Gulf Breeze Adult English — Topic 4.1.4 Participation Bank,Internal participation bank for Traffic Control Devices. The controlled mastery gate administers two questions after Topic 4.1.4.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.4,GB-AE-4.1.4-Q06,4.1.4,GB Adult 4.1.4 — Q06 — Flashing red,A flashing red traffic signal should be treated like:,A yield sign,A stop sign,A green arrow,An uncontrolled merge,B,1,single_choice,,"Stop completely, then proceed only when lawful and safe.",Gulf Breeze Adult English — Topic 4.1.4 Participation Bank,Internal participation bank for Traffic Control Devices. The controlled mastery gate administers two questions after Topic 4.1.4.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.4,GB-AE-4.1.4-Q07,4.1.4,GB Adult 4.1.4 — Q07 — Flashing yellow,A flashing yellow signal means:,Stop and wait for green,The road is closed,Proceed with caution,Pedestrians always have a red signal,C,1,single_choice,,"Slow, search, and continue carefully without the automatic stop required by flashing red.",Gulf Breeze Adult English — Topic 4.1.4 Participation Bank,Internal participation bank for Traffic Control Devices. The controlled mastery gate administers two questions after Topic 4.1.4.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.4,GB-AE-4.1.4-Q08,4.1.4,GB Adult 4.1.4 — Q08 — Solid yellow line,What does a solid yellow centerline generally indicate?,Traffic moving in the same direction,A bicycle-only lane,A parking boundary,A restriction on crossing or passing for that side,D,1,single_choice,,Yellow centerlines separate opposing traffic and solid markings restrict crossing.,Gulf Breeze Adult English — Topic 4.1.4 Participation Bank,Internal participation bank for Traffic Control Devices. The controlled mastery gate administers two questions after Topic 4.1.4.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.4,GB-AE-4.1.4-Q09,4.1.4,GB Adult 4.1.4 — Q09 — White lane lines,White lane lines generally separate:,Traffic moving in the same direction,Opposing traffic,A railroad crossing,A school property boundary,A,1,single_choice,,White lines divide lanes traveling in the same general direction.,Gulf Breeze Adult English — Topic 4.1.4 Participation Bank,Internal participation bank for Traffic Control Devices. The controlled mastery gate administers two questions after Topic 4.1.4.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.4,GB-AE-4.1.4-Q10,4.1.4,GB Adult 4.1.4 — Q10 — Conflicting controls,Temporary work-zone markings conflict with old pavement markings. Which should the driver follow?,The old markings,The active temporary control,The navigation app,The widest visible lane,B,1,single_choice,,Active temporary controls govern through the work zone.,Gulf Breeze Adult English — Topic 4.1.4 Participation Bank,Internal participation bank for Traffic Control Devices. The controlled mastery gate administers two questions after Topic 4.1.4.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
