course_type,module,objective_code,poi_topic,question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,points,question_type,hint,explanation,bank_title,bank_description,source_url
adult_topic,GB-ADULT-EN-4.1.7,GB-AE-4.1.7-Q01,4.1.7,GB Adult 4.1.7 — Q01 — Bicyclist movement,A bicyclist moves left to avoid a drain grate. What should a driver do?,Slow and provide adequate space,Use the horn and pass closely,Force the bicyclist onto the shoulder,Pass within the same lane regardless of width,A,1,single_choice,,Bicyclists may move away from hazards; drivers must anticipate and provide room.,Gulf Breeze Adult English — Topic 4.1.7 Participation Bank,Internal participation bank for Cooperating with Other Roadway Users. The controlled mastery gate administers two questions after Topic 4.1.7.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.7,GB-AE-4.1.7-Q02,4.1.7,GB Adult 4.1.7 — Q02 — Motorcycle distance,Why can an approaching motorcycle’s distance be difficult to judge?,Motorcycles always travel slowly,Its narrow profile can distort speed and distance perception,Motorcycles have no headlights,The rider must yield in every situation,B,1,single_choice,,A second look helps prevent turning or pulling into a motorcycle’s path.,Gulf Breeze Adult English — Topic 4.1.7 Participation Bank,Internal participation bank for Cooperating with Other Roadway Users. The controlled mastery gate administers two questions after Topic 4.1.7.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.7,GB-AE-4.1.7-Q03,4.1.7,GB Adult 4.1.7 — Q03 — Large-truck turn,A truck swings left before turning right. What should a nearby driver do?,Enter the space beside the curb,Pass on the right shoulder,Stay back and allow the truck room,Stop directly beside the cab,C,1,single_choice,,Long vehicles need extra turning space and rear wheels track inside the front wheels.,Gulf Breeze Adult English — Topic 4.1.7 Participation Bank,Internal participation bank for Cooperating with Other Roadway Users. The controlled mastery gate administers two questions after Topic 4.1.7.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.7,GB-AE-4.1.7-Q04,4.1.7,GB Adult 4.1.7 — Q04 — Work-zone flagger,A flagger signals stop even though the lane looks open. What should the driver do?,Proceed slowly past the flagger,Follow the vehicle ahead,Use the shoulder,Stop as directed,D,1,single_choice,,A flagger may be controlling hazards or opposing traffic the driver cannot see.,Gulf Breeze Adult English — Topic 4.1.7 Participation Bank,Internal participation bank for Cooperating with Other Roadway Users. The controlled mastery gate administers two questions after Topic 4.1.7.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.7,GB-AE-4.1.7-Q05,4.1.7,GB Adult 4.1.7 — Q05 — Crash assistance,"After a crash with possible injuries, the first priorities include:","Stopping, protecting life, calling for help, and rendering reasonable assistance",Leaving before traffic builds,Posting photos online,Admitting fault to everyone present,A,1,single_choice,,"The driver must stop and address safety, aid, information, and reporting duties.",Gulf Breeze Adult English — Topic 4.1.7 Participation Bank,Internal participation bank for Cooperating with Other Roadway Users. The controlled mastery gate administers two questions after Topic 4.1.7.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.7,GB-AE-4.1.7-Q06,4.1.7,GB Adult 4.1.7 — Q06 — Good Samaritan limit,Good Samaritan protection is not permission to:,Call emergency services,Exceed training or act with willful or wanton negligence,Provide basic aid in good faith,Follow dispatch instructions,B,1,single_choice,,Emergency help should remain within the person’s ability and the law’s conditions.,Gulf Breeze Adult English — Topic 4.1.7 Participation Bank,Internal participation bank for Cooperating with Other Roadway Users. The controlled mastery gate administers two questions after Topic 4.1.7.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.7,GB-AE-4.1.7-Q07,4.1.7,GB Adult 4.1.7 — Q07 — Road rage response,An angry driver follows you. What should you do?,Drive home,Brake-check the driver,Go to a populated safe place and call 911 if threatened,Stop and confront the driver,C,1,single_choice,,Avoid escalation and do not lead a threatening driver to your home.,Gulf Breeze Adult English — Topic 4.1.7 Participation Bank,Internal participation bank for Cooperating with Other Roadway Users. The controlled mastery gate administers two questions after Topic 4.1.7.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.7,GB-AE-4.1.7-Q08,4.1.7,GB Adult 4.1.7 — Q08 — Trailer connection,The trailer safety chains are not attached. What should the driver do?,Drive slowly anyway,Place the chains inside the trailer,Use hazard lights as a substitute,Do not move until required connections and lights are correct,D,1,single_choice,,A towing combination must be properly connected and checked before movement.,Gulf Breeze Adult English — Topic 4.1.7 Participation Bank,Internal participation bank for Cooperating with Other Roadway Users. The controlled mastery gate administers two questions after Topic 4.1.7.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.7,GB-AE-4.1.7-Q09,4.1.7,GB Adult 4.1.7 — Q09 — Carbon monoxide,Vehicle occupants develop headache and dizziness. What is the safest response?,"Stop safely, reach fresh air, and obtain emergency help",Keep driving with the radio on,Close every vent and continue,Assume it is motion sickness,A,1,single_choice,,Carbon monoxide is odorless and can cause unconsciousness and death.,Gulf Breeze Adult English — Topic 4.1.7 Participation Bank,Internal participation bank for Cooperating with Other Roadway Users. The controlled mastery gate administers two questions after Topic 4.1.7.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.7,GB-AE-4.1.7-Q10,4.1.7,GB Adult 4.1.7 — Q10 — Traffic-stop movement,"Before reaching for documents during a traffic stop, the driver should:",Move suddenly so the stop ends faster,Tell the officer where the item is and follow instructions,Exit without being asked,Ask a passenger to reach secretly,B,1,single_choice,,Calm communication and visible predictable movement reduce uncertainty.,Gulf Breeze Adult English — Topic 4.1.7 Participation Bank,Internal participation bank for Cooperating with Other Roadway Users. The controlled mastery gate administers two questions after Topic 4.1.7.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
