course_type,module,objective_code,poi_topic,question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,points,question_type,hint,explanation,bank_title,bank_description,source_url
adult_topic,GB-ADULT-EN-4.1.6,GB-AE-4.1.6-Q01,4.1.6,GB Adult 4.1.6 — Q01 — Zero-tolerance plan,When should a safe transportation plan be made?,Before alcohol or another impairing substance is used,After impairment begins,Only after police arrive,While driving home,A,1,single_choice,,A complete plan is made before use begins and does not depend on an impaired decision.,Gulf Breeze Adult English — Topic 4.1.6 Participation Bank,Internal participation bank for Alcohol and Other Drugs. The controlled mastery gate administers two questions after Topic 4.1.6.,https://www.sos.state.tx.us/texreg/archive/April242026/In%20Addition/202601590-1.pdf
adult_topic,GB-ADULT-EN-4.1.6,GB-AE-4.1.6-Q02,4.1.6,GB Adult 4.1.6 — Q02 — Alcohol removal,"Which statement about coffee, food, exercise, or a cold shower is correct?",They rapidly remove alcohol,They do not rapidly remove alcohol; time is required,They make driving legal,They guarantee normal judgment,B,1,single_choice,,Only time allows the body to process alcohol; common remedies do not restore safe driving.,Gulf Breeze Adult English — Topic 4.1.6 Participation Bank,Internal participation bank for Alcohol and Other Drugs. The controlled mastery gate administers two questions after Topic 4.1.6.,https://www.sos.state.tx.us/texreg/archive/April242026/In%20Addition/202601590-1.pdf
adult_topic,GB-ADULT-EN-4.1.6,GB-AE-4.1.6-Q03,4.1.6,GB Adult 4.1.6 — Q03 — BAC and impairment,Why can a person be unsafe to drive before feeling drunk?,BAC matters only after a crash,Experienced drivers cannot be impaired,Impairment can affect judgment and reaction before obvious symptoms,Food prevents all impairment,C,1,single_choice,,Alcohol can reduce critical abilities before the person recognizes the change.,Gulf Breeze Adult English — Topic 4.1.6 Participation Bank,Internal participation bank for Alcohol and Other Drugs. The controlled mastery gate administers two questions after Topic 4.1.6.,https://www.sos.state.tx.us/texreg/archive/April242026/In%20Addition/202601590-1.pdf
adult_topic,GB-ADULT-EN-4.1.6,GB-AE-4.1.6-Q04,4.1.6,GB Adult 4.1.6 — Q04 — Prescription warning,A new prescription label warns against driving. What should the person do?,Drive a short distance to test it,Mix it with caffeine,Take half without asking,Do not drive until qualified guidance confirms how it affects them,D,1,single_choice,,Medication warnings require caution and guidance from a prescriber or pharmacist.,Gulf Breeze Adult English — Topic 4.1.6 Participation Bank,Internal participation bank for Alcohol and Other Drugs. The controlled mastery gate administers two questions after Topic 4.1.6.,https://www.sos.state.tx.us/texreg/archive/April242026/In%20Addition/202601590-1.pdf
adult_topic,GB-ADULT-EN-4.1.6,GB-AE-4.1.6-Q05,4.1.6,GB Adult 4.1.6 — Q05 — Mixed substances,What can happen when alcohol is combined with another drug?,The effects can become stronger or unpredictable,The effects always cancel,The BAC becomes zero,Driving skill automatically improves,A,1,single_choice,,Combining substances can compound impairment and create unpredictable effects.,Gulf Breeze Adult English — Topic 4.1.6 Participation Bank,Internal participation bank for Alcohol and Other Drugs. The controlled mastery gate administers two questions after Topic 4.1.6.,https://www.sos.state.tx.us/texreg/archive/April242026/In%20Addition/202601590-1.pdf
adult_topic,GB-ADULT-EN-4.1.6,GB-AE-4.1.6-Q06,4.1.6,GB Adult 4.1.6 — Q06 — Cannabis driving,Which statement is safest regarding cannabis and driving?,Driving is safe if the route is familiar,Do not drive while impaired,Open windows prevent impairment,Only night driving is affected,B,1,single_choice,,"Cannabis can impair attention, perception, coordination, and reaction.",Gulf Breeze Adult English — Topic 4.1.6 Participation Bank,Internal participation bank for Alcohol and Other Drugs. The controlled mastery gate administers two questions after Topic 4.1.6.,https://www.sos.state.tx.us/texreg/archive/April242026/In%20Addition/202601590-1.pdf
adult_topic,GB-ADULT-EN-4.1.6,GB-AE-4.1.6-Q07,4.1.6,GB Adult 4.1.6 — Q07 — DWI consequences,A DWI can create consequences involving:,Only a traffic warning,Only insurance discounts,"Criminal penalties, license action, cost, injury, and death",Only vehicle registration,C,1,single_choice,,"Impaired driving has legal, financial, licensing, and human consequences.",Gulf Breeze Adult English — Topic 4.1.6 Participation Bank,Internal participation bank for Alcohol and Other Drugs. The controlled mastery gate administers two questions after Topic 4.1.6.,https://www.sos.state.tx.us/texreg/archive/April242026/In%20Addition/202601590-1.pdf
adult_topic,GB-ADULT-EN-4.1.6,GB-AE-4.1.6-Q08,4.1.6,GB Adult 4.1.6 — Q08 — Designated driver drinks,The designated driver consumes one alcoholic drink. What should the group do?,Continue because it was only one,Wait five minutes,Let the youngest passenger drive,Use another sober transportation option,D,1,single_choice,,A designated driver must remain substance-free; choose another sober option.,Gulf Breeze Adult English — Topic 4.1.6 Participation Bank,Internal participation bank for Alcohol and Other Drugs. The controlled mastery gate administers two questions after Topic 4.1.6.,https://www.sos.state.tx.us/texreg/archive/April242026/In%20Addition/202601590-1.pdf
adult_topic,GB-ADULT-EN-4.1.6,GB-AE-4.1.6-Q09,4.1.6,GB Adult 4.1.6 — Q09 — Impaired friend,A friend insists on driving while impaired. What is the safest response?,Prevent the trip when safely possible and arrange sober transportation,Ride along to supervise,Give the friend coffee,Follow in another car,A,1,single_choice,,Separate the impaired person from driving and seek emergency help if danger is immediate.,Gulf Breeze Adult English — Topic 4.1.6 Participation Bank,Internal participation bank for Alcohol and Other Drugs. The controlled mastery gate administers two questions after Topic 4.1.6.,https://www.sos.state.tx.us/texreg/archive/April242026/In%20Addition/202601590-1.pdf
adult_topic,GB-ADULT-EN-4.1.6,GB-AE-4.1.6-Q10,4.1.6,GB Adult 4.1.6 — Q10 — Riding with impairment,Why is riding with an impaired driver unsafe?,Passengers remove the impairment,"The driver’s judgment, attention, vision, coordination, and reaction may be reduced",Seat belts prevent every crash,Short trips have no risk,B,1,single_choice,,A passenger cannot compensate for an impaired driver’s reduced abilities.,Gulf Breeze Adult English — Topic 4.1.6 Participation Bank,Internal participation bank for Alcohol and Other Drugs. The controlled mastery gate administers two questions after Topic 4.1.6.,https://www.sos.state.tx.us/texreg/archive/April242026/In%20Addition/202601590-1.pdf
