course_type,module,objective_code,poi_topic,question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,points,question_type,hint,explanation,bank_title,bank_description,source_url
adult_topic,GB-ADULT-EN-4.1.2,GB-AE-4.1.2-Q01,4.1.2,GB Adult 4.1.2 — Q01 — Texas license application,What is the best source for current Texas driver-license application requirements?,The Texas Department of Public Safety,A social-media post,An older course handout,A vehicle dealer,A,1,single_choice,,DPS publishes the controlling application requirements and forms.,Gulf Breeze Adult English — Topic 4.1.2 Participation Bank,Internal participation bank for Your License to Drive. The controlled mastery gate administers two questions after Topic 4.1.2.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.2,GB-AE-4.1.2-Q02,4.1.2,GB Adult 4.1.2 — Q02 — License class,Why must a driver know the class and restrictions shown on a license?,They set vehicle resale value,They determine lawful driving privileges,They replace insurance requirements,They apply only outside Texas,B,1,single_choice,,"A driver must operate only within the class, endorsements, and restrictions granted.",Gulf Breeze Adult English — Topic 4.1.2 Participation Bank,Internal participation bank for Your License to Drive. The controlled mastery gate administers two questions after Topic 4.1.2.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.2,GB-AE-4.1.2-Q03,4.1.2,GB Adult 4.1.2 — Q03 — Restriction compliance,A driver has a corrective-lens restriction. What is required while driving?,Carry glasses in the trunk,Drive only during daylight,Wear the required corrective lenses,Remove the restriction personally,C,1,single_choice,,License restrictions remain mandatory until DPS officially changes them.,Gulf Breeze Adult English — Topic 4.1.2 Participation Bank,Internal participation bank for Your License to Drive. The controlled mastery gate administers two questions after Topic 4.1.2.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.2,GB-AE-4.1.2-Q04,4.1.2,GB Adult 4.1.2 — Q04 — Suspended privilege,What should a person do after receiving notice that driving privileges are suspended?,Continue driving until stopped,Use another person’s license,Apply for new plates,Stop driving and follow the official reinstatement process,D,1,single_choice,,Driving during a suspension can create additional legal consequences.,Gulf Breeze Adult English — Topic 4.1.2 Participation Bank,Internal participation bank for Your License to Drive. The controlled mastery gate administers two questions after Topic 4.1.2.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.2,GB-AE-4.1.2-Q05,4.1.2,GB Adult 4.1.2 — Q05 — Renewal information,Why should a driver keep the address on the DPS record current?,To receive official notices and maintain an accurate license record,To change the vehicle title automatically,To avoid carrying insurance,To eliminate renewal requirements,A,1,single_choice,,Accurate contact information supports notices and lawful renewal.,Gulf Breeze Adult English — Topic 4.1.2 Participation Bank,Internal participation bank for Your License to Drive. The controlled mastery gate administers two questions after Topic 4.1.2.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.2,GB-AE-4.1.2-Q06,4.1.2,GB Adult 4.1.2 — Q06 — Vehicle registration,What does vehicle registration primarily document?,Permission to ignore inspections,The vehicle’s lawful registration record,Proof that the driver passed a road test,A guarantee of mechanical condition,B,1,single_choice,,Registration documents the vehicle in the state system; it is not a safety guarantee.,Gulf Breeze Adult English — Topic 4.1.2 Participation Bank,Internal participation bank for Your License to Drive. The controlled mastery gate administers two questions after Topic 4.1.2.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.2,GB-AE-4.1.2-Q07,4.1.2,GB Adult 4.1.2 — Q07 — Financial responsibility,What must a Texas driver be able to show when required?,A vehicle repair receipt,A school transcript,Proof of financial responsibility,A voter card,C,1,single_choice,,Texas drivers must maintain and produce acceptable proof of financial responsibility.,Gulf Breeze Adult English — Topic 4.1.2 Participation Bank,Internal participation bank for Your License to Drive. The controlled mastery gate administers two questions after Topic 4.1.2.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.2,GB-AE-4.1.2-Q08,4.1.2,GB Adult 4.1.2 — Q08 — Insurance lapse,What is the safest lawful response if required vehicle insurance has lapsed?,Drive only on local streets,Borrow another license,Remove the license plates,Do not drive until valid coverage is restored,D,1,single_choice,,Driving without required financial responsibility exposes the driver and others to serious risk.,Gulf Breeze Adult English — Topic 4.1.2 Participation Bank,Internal participation bank for Your License to Drive. The controlled mastery gate administers two questions after Topic 4.1.2.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.2,GB-AE-4.1.2-Q09,4.1.2,GB Adult 4.1.2 — Q09 — Disability communication program,What is true of the Texas Driving with Disabilities Program?,Participation is voluntary,It excuses traffic violations,It guarantees an officer sees the indicator,It replaces communication during a stop,A,1,single_choice,,"The program is voluntary and provides an additional communication aid, not an exemption.",Gulf Breeze Adult English — Topic 4.1.2 Participation Bank,Internal participation bank for Your License to Drive. The controlled mastery gate administers two questions after Topic 4.1.2.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
adult_topic,GB-ADULT-EN-4.1.2,GB-AE-4.1.2-Q10,4.1.2,GB Adult 4.1.2 — Q10 — Official record changes,Who may officially add or remove a driver-license restriction or indicator?,The license holder alone,The responsible state agency through its established process,A driving instructor,Any insurance company,B,1,single_choice,,Only the responsible agency can make an official license-record change.,Gulf Breeze Adult English — Topic 4.1.2 Participation Bank,Internal participation bank for Your License to Drive. The controlled mastery gate administers two questions after Topic 4.1.2.,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf
